;date;message
10;09.11.2021;Мигранты проломили заграждение и на центральной позиции
11;09.11.2021;"После драки в московском метро полиция возбудила уголовное дело по статье «Хулиганство». Об этом RT сообщили в пресс-службе столичного управления МВД. 

Инцидент произошёл накануне в районе станции «Улица 1905 года»: 25-летний житель ближнего зарубежья в пьяном состоянии поругался с пассажиром.

Личность второго участника инцидента в ведомстве не уточнили. По данным источника РИА Новости, подрались два гражданина Киргизии.

Обоих участников конфликта задержали правоохранители.

@rt_russian"
12;09.11.2021;"⚡️Эксклюзив RT

Трое арестованных по делу о нападении на мужчину с ребёнком в Новых Ватутинках не признают вины, а четвёртый не говорит по-русски.

Об этом RT сообщили в ОНК Москвы, отметив, что все четверо сейчас помещены в ИВС на Петровке, 38.

19-летний Фарамаз Гасанов утверждает, что ребёнка пострадавшего мужчины якобы никто не трогал. «Вину не признаю. Конфликт начался с того, что у нас десять рублей попросили, младшего брата бутылкой ударили», — привёл правозащитник его слова.

Напомним, именно Фарамаз, по данным следствия, достал во время драки нож.

Старший из братьев Гасановых, Эльджан, тоже вину не признаёт, а его сокамерник добавил: «Они просто заявление первыми в полицию написать не успели». 17-летний Эльхан утверждает, что он и его братья якобы сами стали жертвами нападения и в драке ему бутылкой разбили телефон.

Четверых обвиняемых в нападении на мужчину с ребёнком в Новой Москве арестовали 7 ноября. Возбуждено уголовное дело о покушении на убийство.

@rt_russian"
13;08.11.2021;"👷В России не хватает курьеров и строителей. Как нерабочие дни и пандемия повлияли на рынок труда

🔺Что произошло: Специалисты HH подсчитали, что во время нерабочих дней число вакансий в сферах туризма, фитнеса и общепита снизилось примерно на 10%.

🔺Но при этом: Из-за оттока мигрантов на рынке труда наблюдается дефицит курьеров, кассиров и продавцов. 

🔺Тенденция: 90% россиян заявляют, что хотели бы работать из дома. Ради этого они готовы на сокращение зарплаты и даже на смену профессии.

На кого советуют переучиваться специалисты HeadHunter: https://www.mn.ru/smart/l5OjL50r"
14;08.11.2021;МВД Германии начало активно продвигать идею ввода новых санкций ЕС против авиакомпаний и других юридических лиц, замешанных в организации нелегальной миграции в ЕС через Беларусь.  https://t.me/sanctionstimes/798 
15;08.11.2021;"👷 Рост экономики зависит как от мигрантов, так и от их квалификации

Миграция способствует притоку дешевой рабочей силы в нуждающиеся отрасли экономики и способствует их развитию или восстановлению, однако строго подтвердить эту гипотезу сложно: экономистам приходится специально искать кейсы, позволяющие постфактум показать на цифрах, что это так.

Одна из таких работ, публикация Михаэля Петерса в NBER на данных хорошо документированного послевоенного притока мигрантов в Западную Германию, демонстрирует значительную индустриализацию и прирост производства в прежде аграрных регионах страны. Однако ключевым фактором для этого оказывается квалификация работников."
16;08.11.2021;"МВД устроит облавы на жилища мигрантов после массовых драк с участием приезжих.

Первые массовые рейды полиции по хостелам и общежитиям, где живут мигранты, в ближайшее время пройдут в Подмосковье. «Там [в хостелах и общежитиях] проживают лица азиатской национальности, из Закавказья. Было принято решение о полной отработке жилого сектора с установлением всех официальных и неофициальных мест компактного проживания указанных граждан. Имеется несколько случаев [драк] — Люберцы, Красногорск и Домодедово», — заявил начальник ГУ МВД РФ по Московской области Виктор Пауков."
17;08.11.2021;То есть когда в 2015 году 50 000 мигрантов шли на ГЕрманию с другой стороны - все было ОК, а тут истерика до небес? https://t.me/rt_russian/81763
18;08.11.2021;"На полях обсуждения инцидента в Новых Ватутинках заметим несколько моментов, некоторые из которых могут казаться банальными, но для понимания происходящего их стоит иметь в виду.

1. Соцсети становятся – уже стали – полноценной действующей площадкой актуальной политики: дискуссия главы региона с главредом ведущего СМИ, куда уже выше.

2. В силу принципиально иных механизмов распространения и потребления контента они неподцензурны – попытка контролировать их (привет депутату Хамзаеву) эффективна примерно так же, как попытка спастись от дождя под газетой: через некоторое время все равно протечет. 

3. Власть реагирует на действительно острые вопросы актуальной повестки, затрагивающие настроения масс, которые выражаются в том числе и через соцсети. 

Какие из этих не раз подтвержденных тезисов можно сделать практические политические выводы? Из напрашивающихся – политические издержки от завоза неассимилируемых мигрантов постепенно начинают превышать экономические выгоды. Стратегически эта проблема решается только на очень длинных временных отрезках, и говорить, что мигрантов завтра перестанут завозить, конечно, нельзя. Но вот широкий набор тактических средств профилактики преступности – от мигрантского залога до предложенной Бастрыкиным геномной регистрации – уже на столе. Также и оперативные инструменты в виде стимулирования/ограничения миграции из тех или иных конкретных стран, полагаем, не задержатся."
19;08.11.2021;Песков – о драке в Ватутинках: Речь идет о правонарушениях со стороны граждан России. Именно это является важным. Правоохранительные органы предъявляют обвинения. Ведутся следственные действия. Если эти обвинения будут доказаны в суде, эти граждане России будут привлечены к ответственности. Никакой национальной подоплеки здесь нет и быть не может.
20;08.11.2021;"Минутка унижений.

На днях, ув. друзья, я был приглашён в маленький эфир об эмиграции для жителей моей малой родины (прибалтийской сувенирной державы, откуда я отбыл так давно, что не знаю фамилий двух последних президентов). 

В связи с довольно резким падением доходов у традиционных работодателей прибалтов (англичан, испанцев и пр.) внимание местных соотечественников-за-рубежом на предмет «куда валить» обращается в смятении на Россию. Экзотический чудак я, в нулевых выбравший уехать туда, куда нормальные люди не уезжали, в таких условиях приобрёл некоторую актуальность и интерес.

В ходе эфира с экс-согражданами сформулировались некоторые тезисы, которые я систематизировал во вдумчивый доклад с картинками.

В нём представлены пять категорий эмиграции, от безупречной до идиотской; пять правил эмиграции, которые приходится соблюдать всем; и - в качестве бонуса - девять с половиной уникальных достоинств России, о которых в России мало думают."
21;07.11.2021;"Автор Telegram-канала @fuckyouthatswhy специально для @rt_russian

Вижу, что в связи с тем, что, похоже, московские власти включили режим противостояния импортированной преступности, наши оппо-друзья включили в ответ тему «в Европах никогда не обозначают национальность преступника, тем более в СМИ».
Понятно, зачем это делается: чтобы замылить проблему и заткнуть рот общественности (ну и заодно подготовить почву для обвинений в расизме, как нынче модно). Но как же обстоят дела на самом деле?

Возьмём, например, Германию, где национальность была горячим вопросом с 20-х годов прошлого века ровно по 1945-й. Всё изменилось драматически с 2015 года, когда в страну зашли более миллиона молодых людей призывного возраста со смартфонами в руках и сказали, что они из Сирии.

Когда началась преступная волна, о которой предупреждали в обмен на ярлык нациста самые разные деятели страны (изнасилования, убийства, нападения на граждан), правительство Меркель всячески подавляло в сознании граждан связь «миграция — преступность», и тогда даже полицейским рекомендовали помалкивать насчёт происхождения подозреваемого/преступника. Газеты также вертелись на пупе, чтобы не сказать слово «мигрант» в сообщении «27-летний мужчина отрубил голову соседу».

Публика очень быстро научилась считывать тонкости эзопова языка: если преступление совершено ножом, то 99% — это мигрант. Возник даже термин «ножевая преступность». Так как до миграционной волны нож был самым последним выбором для разборок и нападений в Германии. Нож (Messer) стал символом этнической преступности, которая как бы совсем не этническая.
Второй маркер — если в криминальных сообщениях газет после 2015-го не было нарочито обозначено «немец», публика понимала безошибочно, что это именно мигрант изнасиловал старушку.
На удивление только издания концерна Axel Springer даже в самую информационную блокаду с большой точностью указывали происхождение преступников или указывали говорящие о многом первые имена — Абдурахман К., например. И всем всё было понятно.

Но лицемерие и тупиковость такой «информационной политики» довольно быстро стали очевидностью. Так что последние пару лет «русские» опять превратились в «чеченцев», а кинувший под поезд ребёнка «мужчина 30 лет» превратился в «сомалийца, ожидающего разрешения на проживание». 

Даже вчерашнее нападение с ножом на пассажиров поезда в Баварии показало, что уже нет никакого табу на обозначение национальности и миграционного статуса преступника (он был сразу и везде обозначен как «сириец») ни у полиции, ни в СМИ.

Так что не надо нам рассказывать сказки: как только общество утомлено этнической и мигрантской преступностью, все старые табу отметаются"
22;07.11.2021;"Кадры из зала суда, где арестован первый из четырех обвиняемых в нападении на мужчину с ребенком в Новых Ватутинках.

До 5 января 2022 года под стражу заключен 19-летний Гасанов. Именно он, по данным следствия, достал во время драки нож. По словам его адвоката, у обвиняемого в руках был «кистевой эспандер»"
23;07.11.2021;"Потерпевшие в драке в Новых Ватутинках едва не ввязались в новую драку с четырьмя задержанными — но уже в отделении полиции. Об этом сообщил адвокат последних, пишет ТАСС.

@tv360"
24;07.11.2021;"Участников драки в Новых Ватутинках доставили в Щербинский суд, где им будут избирать меру пресечения

@truekpru"
25;07.11.2021;"🇱🇹🇱🇻Литва может усилить пограничный контроль с Латвией.

И дело не в нелегальных мигрантах. Граждане соседней республики облюбовали литовские торговые центры — ковидные ограничения здесь мягче. 

Наплыв покупателей обрадовал продавцов, но сильно обеспокоил эпидемиологов. Латвия сейчас занимает первое место по смертности от ковида среди европейских стран.

Литовский Минздрав назвал закрытие границы крайней мерой, но полностью не исключил.

@SputnikLive"
26;07.11.2021;"👁‍🗨 Инцидент в Новой Москве в очередной раз поднял на медийную поверхность пресловутый «национальный вопрос», который, в общем-то, никогда никуда из повестки не уходит, просто опускается на глубину. И такие вот происшествия его всякий раз поднимают во всей масштабности и остроте.

А властям, решая проблему, всякий раз приходится балансировать между Сциллой ксенофобии и Харибдой гражданского недовольства. Каковое неловольство, надо сказать, неизбежно приводит к росту все той же ксенофобии. 

Потому что граждане, безусловно, не только подумают, но и вслух скажут все то, чего власти не позволяют себе из полит- или же просто корректности. И даже то, чего ни одни власти в своем уме себе не позволят сказать никогда, тем более в стране, победившей германский нацизм.

Редакции Ока, меж тем, кажется, что тему мигрантов во имя пресловутой корректности в официальных речах вполне можно перевести из национальной в сугубо социальную плоскость. Очевидно, на заработки неквалифицированным трудом в другую страну едут, в основном, люди социально неблагополучные. Нам их очень жалко, мы понимаем, что они не от хорошей жизни такие злые и незаконопослушные.

Но мы незаконных действий не одобряем ни в каком виде, какие бы причины их ни вызвали. И у людей с русскими именами и фамилиями - тоже. Вот и все, и никакой скользкости в теме уже практически и нет."
27;07.11.2021;"В подмосковном Домодедово произошёл массовый замес. В побоище участвовали несколько десятков человек.

Точные причины драки неизвестны – полиция ведёт проверку. Но в соцсетях ходит информация о том, что всё началось из-за словесной перепалки. Ну а потом по-классике: кулаки, ножи, травматы.

Судя по видео и комментариям очевидцев, бились две компании – русских ребят и приезжих. Поглядим, что расскажет полиция, тема уж больно злободневная."
28;06.11.2021;"Вижу несправедливые наезды на МВД за то, что ватутинские задержанные оказались гражданами России. 

Ответственно заявляю, что гражданство товарищам было выдано в 12-м году Федеральной Миграционной Службой. 

Функции которой перешли в ведение МВД только в 16-м. 

Именно поэтому и перешли, надо полагать."
29;06.11.2021;"Хотела бы обратить внимание Кадырова, что я всегда проверяю информацию перед тем, как 'делать заявления'. Именно поэтому моя информация оказалась верной: все четверо задержанных за нападение в Ватутинках действительно уроженцы Кавказа. Все до одного. 

По необъяснимым причинам многие, очевидно, не понимают, что Кавказ — это не только Чеченская республика, Дагестан, Осетия и др.  

Хотела бы напомнить, что Кавказ — это и Азербайджан, и Армения, и Грузия, и много чего еще. 

Я сама, с точки зрения классической географии, — такой же 'кавказец'. 

И именно поэтому имею полное право критиковать неправильное поведение некоторых представителей этого собирательного термина. 

Отдельно обращаю внимание Кадырова, что я нигде не упоминала СЕВЕРНЫЙ Кавказ, упомянутый в его посте, именно потому, что у меня не было информации, что ребенка били и материли уроженцы СЕВЕРНОГО Кавказа. 

Но кроме Северного Кавказа на свете есть еще и Южный. 

Что касается вопроса, надо или нет упоминать, откуда родом очередной задержанный. 

Когда-то я сама считала, что этого делать не надо. Меня тоже, как 'лицо кавказской национальности', обижали и возмущали такие упоминания. 

Но с возрастом для меня стало очевидно, что, замалчивая публично те вещи, о которых люди сейчас говорят в вотсап-чатах, а раньше — на кухнях, мы не решаем проблему, а усугубляем ее. 

Когда-то мы из-за этого уже потеряли страну. 

Очень не хочется потерять еще раз. 

Кадыров всегда отличался тем, что жестко пресекал проступки своих соплеменников, не скрывая, что они его соплеменники. 

Тем удивительнее, что сейчас такую резкую реакцию вызвал мой пост по поводу ситуации, не имеющей никакого отношения ни к чеченцам, ни вообще к народам СЕВЕРНОГО Кавказа. 

По этой логике, могли возмутиться и армяне. 

Они/мы ведь тоже кавказцы.

Кстати, когда я писала этот пост, я знала, что нападавшие — уроженцы одной из кавказских стран, но не знала, какой именно. 

С таким же успехом, это могли оказаться армяне. Что никак не изменило бы сути моего поста. 

Мне не впервой критиковать своих соплеменников, когда, в моем понимании, они неправильно себя ведут.

Заодно призываю Государственную Думу, МВД, Следственный Комитет и прочие ведомства не обращать внимания на массовые угрозы и оскорбления в адрес меня и моих детей. 

История всех рассудит.

https://t.me/RKadyrov_95/1183"
30;06.11.2021;"Поселок Сосенское местные называют Москвабадом, потому что современные многоэтажки «Испанского квартала» тут граничат с крупнейшим продовольственным рынком, где хозяйничают мигранты. Между ними «великая узбекская стена» — двухметровый забор. Но он не является залогом спокойствия Сосенского. Только за месяц здесь произошло несколько драк с участием мигрантов и две попытки изнасилования ⁠https://www.ntv.ru/novosti/2630360/

@ntvnews"
31;06.11.2021;"Вижу несправедливые наезды на МВД за то, что ватутинские задержанные оказались гражданами России. 

Ответственно заявляю, что гражданство товарищам было выдано в 12-м году Федеральной Миграционной Службой. 

Функции которой перешли в ведение МВД только в 16-м. 

Именно поэтому и перешли, надо полагать."
32;06.11.2021;"Вижу несправедливые наезды на МВД за то, что ватутинские задержанные оказались гражданами России. 

Ответственно заявляю, что гражданство товарищам было выдано в 12-м году Федеральной Миграционной Службой. 

Функции которой перешли в ведение МВД только в 16-м. 

Именно поэтому и перешли, надо полагать."
33;06.11.2021;"Нет и не будет другого способа держать под контролем межнациональную обстановку, чем исключать любую безнаказанность на этой почве в режиме 24/7/365 (да, это условие недостаточное - но абсолютно необходимое). В случаях, которым с самого начала гарантирован широкий резонанс, это требование всегда выполняется. В случаях, если история, даже не оставшись локальной, не попадает в топы (а они по определению не могут быть безразмерными) - когда как и где как. Пример первого - Новые Ватутинки, второго - Лыткарино, где толпа бородатых двуногих избила местного до потери сознания неделю назад, но дело возбуждено только что, и похоже, что именно в силу попадания на федеральные радары на волне еще более отвратительной истории.

Это к тому, что остро нужна система эскалирования в центр всех и каждого безобразий, не отреагированных на местах в минимально разумные сроки. Чтобы правоохранители на этих самых местах понимали, что пытаться замести под ковер - это не просто больно, но и бессмысленно, потому что ответ за свое бездействие и его мотивы придется держать быстро и с гарантией.

Выполнять именно эту функцию в последнее время довольно неплохо получается у СК, но этого недостаточно, потому что в одно свое лицо СК не обеспечит должной системности при всем желании. По-хорошему здесь нужна постоянно действующая связка из местных и федеральных (именно так) медиа, прокуратуры и множества граждан, которые понимали бы, в какое окно им стучаться, если правоохранители у них на земле не желают ловить мышей.

И где эта связка будет работать (а у региональных властей, если они мало-мальски в себе, к слову, имеется огромный объективный интерес ее лелеять и пестовать), там вопроса безнаказанности не будет стоять как такового.

К одной безнаказанности тема, конечно, не сводится - профилактика важна точно не менее. Но поскольку вопрос профилактики намного более комплексный и поэтому настолько же тяжелее на подъем, то первоочередных, то есть эффективных и быстрых, решений я бы искал примерно в духе сказанного."
34;06.11.2021;"Переквалифицировав инцидент в Новых Ватутинках из «хулиганства» в «покушение на убийство» СК пытается «сбить жар». Правоохранительные органы дают четкий сигнал, что нападавшие не уйдут от ответственности, а возможные призывы со стороны диаспоры «пожалеть мальчиков» останутся не услышанными. 

Ход хороший, но в среднесрочной перспективе на сложную межнациональную ситуацию в Новой Москве он не повлияет. Полезным будет увеличение там численного состава сотрудников правоохранительных органов, но даже это будет иметь очень ограниченный эффект. Реально же, когда конкретный инцидент будет полностью исчерпан, мяч окажется на стороне правительства: придется возвращаться к сложной теме пересмотра миграционной политики. Шаги по снижению зависимости экономики от мигрантов принимаются, но очевидно, что они недостаточны."
